"Date","Open","High","Low","Close","Volume"
"8/10/23",421.600006,435.73999,418.350006,423.880005,49270500
"8/11/23",417.51001,420.179993,406.390015,408.549988,53200900
"8/14/23",404.859985,438,403.109985,437.529999,69028600
"8/15/23",445.600006,452.679993,437.100006,439.399994,67651200
"8/16/23",445.200012,446.75,434.059998,434.859985,52745100
"8/17/23",439.700012,440.619995,430.01001,433.440002,45239500
"8/18/23",426.350006,435.779999,416.600006,432.98999,58262200
"8/21/23",444.940002,470.649994,442.220001,469.670013,69257300
"8/22/23",481.350006,481.869995,453.329987,456.679993,75720700
"8/23/23",458.660004,472,452.079987,471.160004,77904600
"8/24/23",502.160004,502.660004,471.589996,471.630005,115604400
"8/25/23",470.119995,478.049988,450.23999,460.179993,92534100
"8/28/23",464.820007,469.799988,448.880005,468.350006,68519200
"8/29/23",466.660004,490.809998,463.910004,487.839996,70139700
"8/30/23",490.440002,499.269989,484.25,492.640015,73520600
"8/31/23",493.799988,497.440002,489.579987,493.549988,52857000
"9/1/23",497.619995,498,481.420013,485.089996,46319100
"9/5/23",482.230011,488.51001,478.600006,485.480011,38265300
"9/6/23",484.410004,485.48999,465.799988,470.609985,46867000
"9/7/23",455.25,463.440002,451.519989,462.410004,43333000
"9/8/23",459.420013,466.059998,452.709991,455.720001,47306900
"9/11/23",461.480011,461.630005,443.119995,451.779999,47396600
"9/12/23",447.380005,456.730011,445.309998,448.700012,34925600
"9/13/23",446,459.299988,445.029999,454.850006,39835500
"9/14/23",459.5,459.869995,451.309998,455.809998,37009700
"9/15/23",453.410004,455.98999,438.079987,439,50571300
"9/18/23",427.480011,442.420013,420,439.660004,50027100
"9/19/23",438.329987,439.660004,430.019989,435.200012,37306400
"9/20/23",436,439.029999,422.230011,422.390015,36710800
"9/21/23",415.829987,421,409.799988,410.170013,44893000
"9/22/23",415.720001,421.149994,412.309998,416.100006,47923600
"9/25/23",415.910004,425.359985,411.769989,422.220001,41909100
"9/26/23",420.01001,428.200012,416.549988,419.109985,40228200
"9/27/23",423.299988,428.720001,416.290009,424.679993,44493500
"9/28/23",424.600006,434.459991,421.149994,430.890015,42466300
"9/29/23",438.269989,441.440002,433.070007,434.98999,39722100
"10/2/23",440.299988,451.75,438.609985,447.820007,43329800
"10/3/23",448.079987,451.299988,432.459991,435.170013,47085000
"10/4/23",437.420013,441.429993,432.920013,440.410004,36182100
"10/5/23",440.5,449,438.880005,446.880005,39348300
"10/6/23",441.929993,457.890015,440.26001,457.619995,43339700
"10/9/23",448.420013,456.049988,443.679993,452.730011,40967500
"10/10/23",453.100006,462.589996,450.880005,457.980011,36858200
"10/11/23",461.959991,468.589996,460.5,468.059998,37813700
"10/12/23",467.769989,476.089996,463.299988,469.450012,48132500
"10/13/23",469.600006,471.160004,452.799988,454.609985,47411500
"10/16/23",450.630005,462.25,449.119995,460.950012,37509900
"10/17/23",440,447.540009,424.799988,439.380005,81233300
"10/18/23",425.910004,432.190002,418.25,421.959991,62729400
"10/19/23",428.109985,432.970001,418.820007,421.01001,50123300
"10/20/23",418.899994,424.700012,410.779999,413.869995,47638100
"10/23/23",412.290009,432.480011,409.450012,429.75,47853000
"10/24/23",430.769989,436.970001,426.910004,436.630005,40146300
"10/25/23",433.980011,436.5,415.549988,417.790009,39837900
"10/26/23",418.529999,422.559998,398.799988,403.26001,54100100
"10/27/23",411.299988,412.059998,400.149994,405,41678400
"10/30/23",410.869995,417.660004,404.809998,411.609985,38802800
"10/31/23",404.5,408.790009,392.299988,407.799988,51796900
"11/1/23",408.839996,423.809998,408.690002,423.25,43759300
"11/2/23",433.279999,438.839996,428.940002,435.059998,40917200
"11/3/23",440.200012,453.089996,437.230011,450.049988,42385500
"11/6/23",452.850006,459.350006,448.98999,457.51001,40073300
"11/7/23",457.190002,462.179993,451.579987,459.549988,34316500
"11/8/23",461,468.670013,459.679993,465.73999,34671900
"11/9/23",474.670013,482.299988,467.5,469.5,54049600
"11/10/23",475,484.720001,472.829987,483.350006,42124500
"11/13/23",483.200012,491.160004,480.98999,486.200012,38413600
"11/14/23",496.799988,498.339996,490.399994,496.559998,41695400
"11/15/23",499.350006,499.600006,482,488.880005,47549700
"11/16/23",486.790009,495.25,483.299988,494.799988,33975600
"11/17/23",495.23999,497.170013,490.070007,492.980011,32520500
"11/20/23",493.119995,505.480011,491.809998,504.089996,41412000
"11/21/23",501.26001,505.170013,492.220001,499.440002,56574700
"11/22/23",498.519989,503.350006,476.899994,487.160004,89942000
"11/24/23",484.700012,489.209991,477.450012,477.76001,29464500
"11/27/23",478,485.299988,476.519989,482.420013,39566200
"11/28/23",482.359985,483.230011,474.730011,478.209991,40149100
"11/29/23",483.790009,487.619995,478.600006,481.399994,38200500
"11/30/23",480.23999,481.100006,464.220001,467.700012,52624700
"12/1/23",465.25,472,461.869995,467.649994,36880900
"12/4/23",460.769989,460.769989,450.100006,455.100006,43754300
"12/5/23",454.660004,466,452.709991,465.660004,37171800
"12/6/23",472.149994,473.869995,454.119995,455.029999,38059000
"12/7/23",457,466.290009,456.040009,465.959991,35082300
"12/8/23",465.950012,477.410004,465.5,475.059998,35880300
"12/11/23",474.910004,475.309998,458.299988,466.269989,50972800
"12/12/23",460.459991,476.660004,460.459991,476.570007,37238700
"12/13/23",476.290009,485.940002,476.079987,480.880005,44779200
"12/14/23",483.899994,486.700012,474.220001,483.5,39123200
"12/15/23",481.940002,494.040009,481.200012,488.899994,47947800
"12/18/23",494,504.329987,491.5,500.769989,41258700
"12/19/23",494.23999,497,488.950012,496.040009,46444400
"12/20/23",496.549988,499.98999,480.980011,481.109985,39789400
"12/21/23",488.109985,490.950012,484.190002,489.899994,30042500
"12/22/23",491.950012,493.829987,484.670013,488.299988,25213900
"12/26/23",489.679993,496,489.600006,492.790009,24420000
"12/27/23",495.109985,496.799988,490.850006,494.170013,23364800
"12/28/23",496.429993,498.839996,494.119995,495.220001,24658700
"12/29/23",498.130005,499.970001,487.51001,495.220001,38869000
"1/2/24",492.440002,492.950012,475.950012,481.679993,41125400
"1/3/24",474.850006,481.839996,473.200012,475.690002,32089600
"1/4/24",477.670013,485,475.079987,479.980011,30653500
"1/5/24",484.619995,495.470001,483.059998,490.970001,41456800
"1/8/24",495.119995,522.75,494.790009,522.530029,64251000
"1/9/24",524.01001,543.25,516.900024,531.400024,77310000
"1/10/24",536.159973,546,534.890015,543.5,53379600
"1/11/24",549.98999,553.460022,535.599976,548.219971,59675900
"1/12/24",546.200012,549.700012,543.299988,547.099976,35247900
"1/16/24",550.179993,568.349976,549,563.820007,44958000
"1/17/24",563.469971,564.710022,547.400024,560.530029,47439400
"1/18/24",572.599976,576,561.070007,571.070007,49165000
"1/19/24",579.890015,595,572.25,594.909973,54210300
"1/22/24",600.48999,603.309998,590.700012,596.539978,45295500
"1/23/24",595.700012,599.099976,585.849976,598.72998,29465400
"1/24/24",603.039978,628.48999,599.380005,613.619995,56027100
"1/25/24",623.5,627.190002,608.5,616.169983,48277700
"1/26/24",609.599976,617.830017,605.72998,610.309998,39030900
"1/29/24",612.320007,624.890015,609.070007,624.650024,34873300
"1/30/24",629,634.929993,622.599976,627.73999,41073500
"1/31/24",614.400024,622.690002,607,615.27002,45379500
"2/1/24",621,631.909973,616.5,630.27002,36914600
"2/2/24",639.73999,666,636.900024,661.599976,47578000
"2/5/24",682.25,694.969971,672.049988,693.320007,68007800
"2/6/24",696.299988,697.539978,663,682.22998,68311100
"2/7/24",683.190002,702.200012,676,700.98999,49557500
"2/8/24",700.73999,707.940002,694.549988,696.409973,41442200
"2/9/24",705.330017,721.849976,702.119995,721.330017,43663700
"2/12/24",726,746.109985,712.5,722.47998,61371000
"2/13/24",704,734.5,696.200012,721.280029,60258000
"2/14/24",732.02002,742.359985,719.380005,739,50491700
"2/15/24",738.690002,739.75,724,726.580017,42012200
"2/16/24",741,744.02002,725.01001,726.130005,49391800
"2/20/24",719.469971,719.559998,677.340027,694.52002,70483300
"2/21/24",680.059998,688.880005,662.47998,674.719971,69029800
"2/22/24",750.25,785.75,742.200012,785.380005,86510000
"2/23/24",807.900024,823.940002,775.700012,788.169983,82938800
"2/26/24",797,806.460022,785.049988,790.919983,50397300
"2/27/24",793.809998,794.799988,771.619995,787.01001,39170500
"2/28/24",776.200012,789.330017,771.25,776.630005,39311000
"2/29/24",790.940002,799.900024,783.5,791.119995,50728900
"3/1/24",800,823,794.349976,822.789978,47677700
"3/4/24",841.299988,876.950012,837.190002,852.369995,61561600
"3/5/24",852.700012,860.969971,834.169983,859.640015,52063900
"3/6/24",880.219971,897.23999,870.299988,887,58252000
"3/7/24",901.580017,927.669983,896.02002,926.690002,60811900
"3/8/24",951.380005,974,865.059998,875.280029,113299600
